entity_id	entity_name	direction	detrend solar insolation
1	BT-1	-1	0
2	BT-2.1	-1	0
3	BT-2.2	-1	0
4	BT-2.3	-1	0
17	KS08-2	-1	1
22	PAR06	1	0
23	PAR07	1	0
24	PAR08	1	0
26	PAR24	1	0
28	Vil-stm9	-1	0
39	JFYK7	-1	1
40	MSD	-1	1
41	MSL	-1	1
53	TON-1	-1	1
54	TON-2	-1	1
57	JAR13	1	0
62	MWS-1	-1	0
66	BGC-14	1	0
70	BA-1b	1	0
71	BA-1	1	0
81	Kanaan_MIS5	-1	0
83	SC02	-1	1
84	SC03	-1	1
115	D4_2004	-1	1
124	LC-1	1	1
134	7H-2	1	0
135	7H-3	1	0
153	XL-1	-1	0
155	AB-DC-01	-1	0
157	AB-DC-12	-1	0
158	AB-DC-09	-1	0
169	Dim-E3	-1	0
175	HW-3	1	0
180	Candela	-1	0
207	SCH-7	1	0
213	LR07-E1	-1	0
218	ME-12	-1	0
221	XY-2	-1	1
223	LR07-A8	-1	0
224	LR07-A9	-1	0
230	HOL-7	1	0
235	HOL-Comp	1	0
236	HOL-10	1	0
239	BA02	-1	0
245	FC12-12	-1	1
246	FC12-14	-1	1
263	XBL-3	-1	1
265	XBL-7	-1	1
266	XBL-26	-1	1
268	XBL-29	-1	1
269	XBL-48	-1	1
280	SPA_126	1	0
281	SPA_49	1	0
284	COB-01-02	1	0
293	M1-5	-1	0
305	SO-1	1	0
312	BT-2	1	0
314	CC-5_2005	-1	0
315	CC-28_2007	-1	0
322	FS2_2010	1	0
353	2N-HR	-1	0
377	W5	1	0
397	EXC3	1	0
398	EXC4	1	0
425	MN1	-1	1
429	SO-17A	1	1
439	X3	-1	1
441	YB	-1	1
445	ML2	1	0
456	SO-2	1	0
457	1152	1	0
459	C126-118	1	0
481	M1-2	-1	0
485	SB22	-1	0
486	SB23	-1	0
488	SB25-1	-1	0
500	NAR-C	1	0
508	MAG	1	0
509	P09PH2	1	0
513	St8-b	1	1
523	GB09-03	-1	0
524	GB11-09	-1	0
525	HZZ-11	-1	0
562	CA	-1	0
566	ocz-6	1	0
569	CAM-1	-1	0
578	CT-1	-1	0
579	CT-5	-1	0
580	CT-6	-1	0
582	POM1	1	0
586	BG611	-1	0
587	BG6LR	-1	0
593	ELC-B	1	0
605	LSF13	1	0
606	LSF11	1	0
608	CM_2019	-1	0
609	CMa	-1	0
612	PX7_2018	1	0
614	LG12B	1	0
615	LG10	1	0
616	LG25	1	0
636	BGC-16	1	0
644	BA-7	1	0
660	GAS-27	1	0
662	HUN-14	1	0
663	SCH-6	1	0
664	HOL-19	1	0
666	CC-5_2018	-1	0
668	CC-28_2018	-1	0
676	RK05-1	1	0
677	RK05-3	1	0
679	WXSM-51	-1	0
680	WXSM-52	-1	0
682	BCC-10_2019	1	0
687	SO-4	1	0
688	SO-6	1	0
